summary,article,emotion_label,predicted_summary
those with over 2 children shouldn't have voting right ramdev,"yoga guru ramdev has said that those who get married and give birth to more than 2 children should not have voting right. the 52yearold further said that those who remain unmarried like him should be honoured. earlier this year, ramdev said, ""i always keep smiling...you do not need a family to be happy.""",neutral,ramdev says those who get married should not have voting right.
judge who granted bail to rapeaccused sp leader suspended,"additional sessions judge om prakash mishra was suspended on friday after he granted bail to rape accused samajwadi party leader and former minister gayatri prajapati. the allahabad high court has also ordered a departmental inquiry against the judge, which will reportedly be conducted by justice sudhir agarwal. meanwhile, the hc stayed the bail given to prajapati by a local court.",anger,om prakash mishra granted bail to rape accused samajwadi party leader and former minister.
allow users to delete their data 'on demand' apple ceo cook,"apple ceo tim cook, in a time magazine article, has written that people should have the power to ""delete their data on demand, freely, easily and online, once and for all"". cook said the us federal trade commission should establish a ""databroker clearinghouse"" to help users track their information. he added all data brokers should be registered on the same.",neutral,"apple ceo tim cook says people should have power to ""delete their data on demand"""
waive farm loans by oct 1 or face protests ncp to maha govt,"the nationalist congress party ncp on monday demanded that the bjpled maharashtra government waive farmers' loans before october 1, failing which it threatened to stage a statewide agitation. the party has also demanded a comprehensive list of farmers who are eligible for the waiver. notably, 51 lakh farmers in maharashtra have applied for loan waivers.",anger,ncp demands maharashtra government waive farmers' loans before october 1.
"take my baby, leave me mother told stranger in california wildfire","rachelle sanders, a 35yearold mother who evacuated hospital due to california wildfire, told a stranger in whose car she was escaping, to take her baby and leave her behind. sanders had a csection surgery and was confined to a wheelchair. after a ninehour drive, the stranger took sanders and her baby safely back to the hospital, which escaped the flames.",fear,rachelle sanders evacuated hospital due to wildfire
'kem cho' song from saif ali khan's 'baazaar' released,"a new song titled 'kem cho' from saif ali khan and radhika apte starrer 'baazaar' has been released. the song has been sung by ikka and jyotica tangri, composed by tanishk bagchi and written by shabbir ahmed and ikka. directed by gauravv k chawla, the film will also star rohan mehra, the son of late actor vinod mehra.",joy,song 'kem cho' released by ikka and jyotica tangri
"pak bowler ali bowls out 5 players, 2nd to do so in t20s","pakistan and comilla victorians pacer hasan ali became the second bowler in t20 history to take an allbowled fivewicket haul on monday. ali achieved the feat against dhaka dynamites in this year's bangladesh premier league, ending with figures of 3.30205. the first bowler to take an allbowled fivewicket haul was bangladesh's rubel hossain, who did so in 2010.",neutral,hasan ali becomes the second bowler in t20 history to take an allbowled fivewicket haul.
pak is making another 'sarbjit' randeep on kulbhushan case,"actor randeep hooda tweeted that pakistan is making another 'sarbjit', while referring to the case of kulbhushan jadhav, an indian national who was arrested and sentenced to death in pakistan on charges of spying. ""no trial, no evidence, only a closed military court proceeding??? it reeks of lies,"" tweeted randeep. he further wrote, ""maybe we should break him out sushmaswaraj.""",neutral,randeep hooda tweets that pakistan is making another'sarbjit'
gif decided to be 'deadly weapon' by us jury,"a us jury has agreed to count a gif as a ""deadly weapon"" in a case against a man who tweeted a seizurecausing flashing image to a journalist with epilepsy. the man, john rivello, has been charged with ""aggravated assault with a deadly weapon."" the tweet, sent in december, also had the text, ""you deserve a seizure for your post.""",sadness,"jury agrees to count gif as a ""deadly weapon"""
centre tells sc it canât extradite mallya before jan 2018,"the centre on friday told the supreme court it won't be able to secure the extradition of liquor baron vijay mallya, who owes over â¹9,000 crore to banks, before january 2018. the centre's response came after sc said it cannot sentence mallya in a contempt of court case in his absence. notably, mallya had fled to uk in march 2016.",sadness,"vijay mallya owes over â19,000 crore to banks in january 2018."
someone in prison trying to kill me indrani mukerjea,"the prime accused in the sheena bora murder case, indrani mukerjea, told a cbi court that somebody in the prison was trying to kill her. this comes weeks after she was hospitalised over drug overdose. mukerjea further said the day she was hospitalised she spoke only to three lawyers at a court and did not ""consume anything from outside.""",fear,indrani mukerjea is accused in the sheena bora murder case.
scientists link china's air pollution to arctic sea ice loss,"scientists have found that fastmelting ice in the arctic is changing winter weather patterns over china. record low arctic ice in 2012 caused massive smog over china's sky in 2013, which led air pollution levels to rise 10 times the national limits. the event repeated itself in winter 201617 as arctic ice plunged to its secondlowest extent in 2016.",disgust,record low arctic ice in 2012 caused massive smog over china's sky in 2013
kavinder gupta takes oath as new jk deputy chief minister,"kavinder gupta on monday took oath as the deputy chief minister of jammu and kashmir after bjp's nirmal singh resigned on sunday ahead of a cabinet reshuffle. singh will replace gupta as the assembly speaker. ""i'll try my best to meet expectations of people and work for jammu, kashmir, and ladakh,"" the new deputy cm said.",neutral,kavinder gupta takes oath as deputy chief minister of jammu and kashmir.
lenskart charges dnd users â¹3 to unsubscribe from spam smses,"delhi ncrbased lenskart has been sending unwanted smses offering discounts and promotions to do not disturb users and charging â¹3 to unsubscribe from the same. as per trai, it is illegal to send messages to people registered with the do not call registry, with a penalty of â¹25,000. users have also reported receiving the messages despite sending the â¹3 sms.",neutral,lenskart sends unwanted smses offering discounts and promotions to do not disturb users.
ready to talk to india on trade corridor through pok china,"china on monday said that it was ready to hold talks with india to resolve differences over the chinapakistan economic corridor cpec project. india has opposed cpec as a major section of the corridor passes through pakistanoccupied kashmir pok. calling cpec ""merely an economic cooperation"" project, the chinese foreign ministry said that it was not aimed at india.",neutral,china ready to hold talks with india to resolve differences over cpec project.
english pacer once bowled record 66 overs in just 1 spell,"nottinghamshire mediumpacer james iremonger bowled an unbroken spell of 66 overs against hampshire in 1914, which is the longest continuous spell in a firstclass cricket match. he opened the bowling for nottinghamshire and bowled throughout hampshire's first innings, registering figures of 6628813. iremonger was born on march 5, 1876, and took 619 wickets in 334 firstclass matches.",neutral,james iremonger bowled 66 overs against hampshire in 1914.
"disappointed, not surprised cyrus mistry on nclt ruling","cyrus mistry has said he was disappointed but not surprised by the national company law tribunal's dismissal of his petition challenging his removal as tata sons chairman. mistry added that he will challenge the court's ruling. however, tata sons said, ""the judgment has only reaffirmed and vindicated that the conglomerate and its companies have always acted in a fair manner.""",surprise,cyrus mistry says he will challenge the court's ruling.
"aadhaar linking must for pan, filing income tax returns sc","the supreme court on wednesday ruled that linking the aadhaar card to pan card is mandatory and is needed for filing income tax returns. the apex court, however, said aadhaar is not mandatory for opening bank accounts and linking with existing accounts. aadhaarissuing body uidai had earlier told the court that aadhaar linking would help prevent duplication of pan cards.",neutral,aadhaar is not mandatory for opening bank accounts and linking with existing accounts.
victim's silence regarding rape not proof of consent hc,"a rape victim's silence cannot be taken as proof of consent for sexual relations, the delhi high court observed, while upholding a man's 10year jail term for raping a pregnant woman. the court made the observation while rejecting the rapeconvict's defence that the victim's silence regarding the incident proved that consensual sexual relations existed between them.",anger,"rape victim's silence cannot be taken as proof of consent for sexual relations, delhi high court observed."
physique remark on nirbhaya's mother was compliment exmp,"after facing criticism for saying that nirbhaya's mother had a ""good physique"", former mp and former karnataka dgp ht sangliana said the remark was a compliment rather than an insult. adding that his statement was ""totally within the limit"", he said that he made the remark in order to emphasise the importance of providing protection to women.",neutral,karnataka dgp ht sangliana says remark is compliment rather than insult.
trump trolled for misspelling 'hamburgers' as 'hamberders',"us president donald trump has been trolled for misspelling 'hamburgers' as 'hamberders' in a tweet about a white house event. trump met college football champions clemson tigers and served them food that he paid for himself amid the partial government shutdown. reacting to it, a twitter user wrote, ""perhaps trump should pay for courses on how spell check works instead"".",neutral,trump trolled for misspelling hamburgers as 'hamberders'
"can't see beyond misha, my wife is slightly jealous shahid","talking about his wife mira rajput and daughter misha, actor shahid kapoor said, ""i can't see beyond my daughter and i think my wife is slightly jealous."" he added, ""she mira is the apple of her dad's eye just the way misha is mine. so, my wife has to live with it."" mira and shahid got married in 2015.",anger,shahid kapoor says wife mira is the apple of her dad's eye.
rajnath singh recalls 2009 âunderwear bomber' in plane incident,"during a seminar, home minister rajnath singh recalled the 2009 incident of 'underwear bomber', who attempted to explode an amsterdamdetroit flight. ""terrorists are pushing the limits and even underpants to hit aviation sector,"" singh said. he also recalled the shoe bomber on a usbound flight in 2001 case and the 2006 plot to use liquid explosives in a uk flight.",fear,rajnath singh recalls 2009 incident of 'underwear bomber'
union ministers unveil 568kg laddoo on pm modi's 68th b'day,"union ministers prakash javadekar and mukhtar abbas naqvi unveiled a 568kg laddoo on the occasion of pm narendra modi's 68th birthday on monday. the sulabh international social service organisation, which organised the function, celebrated pm modi's birthday as 'swachhta diwas'. sanitation coverage in the country grew from 30 to 90 under pm modi's leadership, javadekar said at the event.",joy,prakash javadekar and mukhtar abbas unveil 568kg laddoo on pm modi's 68th birthday
order barring free rice to dirty puducherry villages revoked,"hours after issuing an order blocking distribution of free rice to puducherry villages which have garbage and witness open defecation, lg kiran bedi has withdrawn the directive. she added that her intention to improve the living conditions of rural poor had been ""misread"". cm v narayanasamy had termed the order ""unconstitutional"", adding that bedi was meddling with people's fundamental rights.",disgust,lg kiran bedi has withdrawn the directive.
people banned from entering sea at dakshina kannada beaches,"karnataka authorities have banned people from entering the sea at beaches in dakshina kannada district till augustend, due to dangerous high tides and harsh water. this comes after several tourists drowned at beaches in the region last month. people found violating the ban will be booked for disobedience to a public servant, police officials said.",fear,people banned from entering the sea at beaches in dakshina kannada district till augustend.
google was like a big brother to uber exceo kalanick,"ousted uber ceo travis kalanick has said the cabhailing startup's relationship with google was ""like a little brother to a big brother."" kalanick's statement came as part of his testimony during the trade secrets trial between uber and google spinoff waymo, which began on monday. earlier, the documents in the trial had revealed that kalanick encouraged his staff to cheat.",surprise,"travis kalanick says cabhailing startup's relationship with google ""like a little brother"" uber ceo tells his team to cheat."
weinstein hired spies to keep a check on accusers report,"according to reports, american producer harvey weinstein hired highly trained exspies, journalists and military personnel who used fake identities to try to stop accusers from going public with sexual misconduct claims against him. weinstein and his team reportedly compiled psychological profiles of the accusers with their personal or sexual histories in order to discredit them.",neutral,"harvey weinstein hired highly trained exspies, journalists and military personnel."
we will definitely prune the portfolio tata sons chairman,"tata sons chairman n chandrasekaran has said that there will ""definitely"" be pruning of the tata portfolio. he said the company will not exit a business ""just to get a headline"", but only when it is certain it is not getting returns. he also said that the nano car plant will not be shut down, despite its sales being less.",neutral,n chandrasekaran says there will be pruning of tata portfolio.
i don't think i am bhansali's kind of actor sonam kapoor,"actress sonam kapoor, while talking about working with filmmaker sanjay leela bhansali again, said, ""i don't think i am his kind of actor. that's what it is."" ""if he thought i suited something, i am sure he'll cast me again,"" she added. sonam had made her bollywood debut with bhansali's 2007 directorial 'saawariya'.",surprise,sonam kapoor talks about working with sanjay leela bhansali again
uttarakhand cancels officers' holidays over heavy rain alert,uttarakhand cm trivendra singh rawat on monday announced that the holidays of all government officers stand cancelled in view of the heavy rain alert issued for the next few days. the employees have been directed to stay in their respective areas so that the response time is reduced in case of an emergency.,sadness,the holidays of all government officers are cancelled in view of the heavy rain alert issued for the next few days
jim corbett national park was called hailey national park,"jim corbett national park, which was established in 1936 in presentday uttarakhand, was the first national park in india. during its inception, the park was named hailey national park. however, the park was renamed in honour of conservationist and naturalist jim corbett, who passed away on april 19, 1955.",neutral,jim corbett national park was established in 1936 in presentday uttarakhand
uk betting firm's founder is 10 times richer than queen at 4.5 bn,"uk's denise coates, the founder and coceo of gambling company bet365, is over 10 times richer than queen elizabeth ii, according to bloomberg. the 51yearold econometrics graduate, who has a net worth of 4.5 billion, holds 50.3 stake in the familyowned company. in 2000, coates mortgaged her family's betting shops and bought the bet365.com domain name on ebay for 25,000.",joy,denise coates is over 10 times richer than queen elizabeth ii.
hizbul militant bhat hid for 10 hrs during encounter report,"slain hizbul commander sabzar ahmad bhat remained in hiding for nearly 10 hours without firing a single bullet at the troops during the encounter, army sources said. bhat, who succeeded burhan wani, also sent text messages from his handset to gather a crowd of stonepelters at the encounter site to provide him cover, the sources added.",fear,"sabzar ahmad bhat remained in hiding for nearly 10 hours, army sources say."
pet care startup petsutra raises â¹95 lakh,"gurugrambased pet care startup petsutra has raised â¹95 lakh in an angel funding round from a group of investors, the company said in a statement. the amount will be used to expand its brand presence across india and globally, the company added. founded in 2016 by amol sharma, petsutra facilitates adoption of dogs and cats and also retails pet accessories.",joy,pet care startup raises â195 lakh in angel funding round.
"pm wants swachh bharat, we want sach bharat rahul gandhi","congress vice president rahul gandhi, in a meeting with opposition leaders on thursday, said that prime minister narendra modi insists on swachh bharat while âwe want sach bharat."" gandhi added, ""wherever modi goes, he lies. if we unite, he wonât stand a chance."" he also slammed bjp's ideological parent rashtriya swayamsevak sangh rss for following a divisive agenda.",neutral,rahul gandhi says narendra modi insists on swachh bharat.
don't judge players' ability by ipl auction prices ganguly,"speaking about the recentlyconcluded ipl auction that featured 581 players, former indian captain sourav ganguly said, ""don't judge players by the amount of money they get in the ipl"". ""hashim amla went unsold and he has 54 international hundreds while ishan kishan gets over â¹6 crore having played only ranji trophy"", ganguly added.",neutral,ganguly: don't judge players by the amount of money they get in the ipl
tdp mps protest outside parliament for special status for andhra,"telugu desam party mps on thursday staged a protest outside the parliament, demanding special category status for andhra pradesh. tdp leaders were seen walking through the streets with placards and festoons. tdp has been demanding special category status for andhra, although the centre had earlier ruled this out.",anger,tdp demands special category status for andhra pradesh
govt expands workplace sexual harassment complaint portal,"the government on tuesday extended the online portal shebox, which previously allowed women government employees to file workplace sexual harassment claims online, to include women employees in the private sector. a cell under the women and child development ministry will look into every complaint filed online and share it with the concerned organisation's internal complaints committee.",fear,shebox allows women government employees to file workplace sexual harassment claims online.
"kashyap, aanand l rai's mukkabaaz to release on november 10","filmmakers aanand l rai and anurag kashyap have released an audiobased teaser for their upcoming film mukkabaaz, which is scheduled to release on november 10. rai will coproduce the film along with phantom films and kashyap will direct it. the film revolves around the story of a boxer from uttar pradesh who falls in love with a brahmin girl.",neutral,aanand l rai and anurag kashyap release audio-based teaser for mukkabaaz.
"gst on ac, nonac restaurants reduced to 5","the gst council on friday reduced the tax rate on ac and nonac restaurants to 5, adding that they will not get input tax credit itc benefits. hotels which charge room rent over â¹7,500 per day will continue to attract 18 gst with itc benefits. earlier, nonac restaurants attracted 12 gst, while all other restaurants were in the 18 bracket.",sadness,gst council reduces tax rate on ac and nonac restaurants to 5.
"mcgregor smashes rival's bus with trolley, turns himself in","mma fighter conor mcgregor smashed his ufc rival's bus with a metal trolley before voluntarily walking into a police station. two people were reportedly injured in the attack, including a ufc fighter who was hit by shattered glass. mcgregor, who's plane was grounded in new york, has been charged with three counts of assault and one of criminal mischief.",anger,mma fighter smashed ufc rival's bus with metal trolley before walking into police station.
school principal's car runs over students in telangana,"a student was killed and two others were injured after their school principal's car ran over them in telangana's jadcherla town. ""the principal lost control of his vehicle while taking a uturn...he drove his car into a group of children who were returning to their respective classes after morning prayers,"" police said. the principal has been taken into police custody.",fear,"the principal lost control of his vehicle while taking a uturn, police say."
"2017 nobel laureates receive awards, 1 million cash prize","the 2017 nobel laureates were handed their medals, personal diplomas, and cash awards worth 9 million sek 1.07 million per nobel prize on sunday. while the ceremony for peace prize took place in norway, the remaining honours were awarded in stockholm by the swedish king. notably, alfred nobel had established prizes in only five of the six disciplines in 1895.",joy,swedish king awarded 9 million sek 1.07 million per nobel prize.
britannia industries q2 net profit rises by 16 to â¹303 crore,"fmcg major britannia industries on monday reported a 16 rise in its net profit for the second quarter ended september of the current fiscal at â¹303.03 crore. the company had posted a net profit of â¹261.03 crore in the julyseptember period a year ago. its total income from operations was up 12.22 at â¹2,913.55 crore.",joy,fmcg major britannia industries reported 16 rise in net profit for second quarter.
russian army displays isis' weapons at military expo,"the russian army has displayed weapons captured from terrorist groups including isis at an international military exhibition which is being held in the russian town of kubinka. the weapons which ranged from homemade mortars to militarygrade firearms and explosives were mostly captured in aleppo, homs and hama governorates by the syrian army during ambush operations against militants.",neutral,the weapons ranged from homemade mortars to militarygrade firearms and explosives.
252 dilapidated rail bridges found lacking speed restriction,"the railway board has ordered a review of all rail bridges in the country, after it was found out that no speed restrictions had been imposed on 252 bridges which were in dilapidated conditions. the board had earlier discovered that the trains would pass on these bridges at their usual speed, thereby posing a safety hazard.",sadness,the railway board has ordered a review of all rail bridges in the country.
nz clinch 1st home test series win over england since 1984,"new zealand clinched their first home test series win over england since 198384 after claiming the twomatch series 10 following the drawn second test in christchurch. with the draw, the new zealand side has ended their test season unbeaten, while england have registered their 13th straight test match without a win while playing away from home.",joy,new zealand clinched their first home test series win over england since 198384.
daimler unveils heavyduty electric truck prototype,"german automaker daimler has unveiled a heavyduty electric truck prototype called 'efuso vision one'. the truck can carry 11 tons of cargo for 350 km before recharging, the automaker said in a statement. the company further said that the truck could go on sale within four years in europe, japan and the us.",neutral,"the truck can carry 11 tons of cargo for 350 km before recharging, german automaker says."
petition to livestream sc proceedings gets 43000 signatures,"an online petition by lawyer indira jaising seeking a live stream of proceedings in the supreme court has garnered over 43,000 signatures. the petition argues that most people don't know how major decisions in the sc are taken and streaming of major cases will help ""bridge the gap"". it will ensure increased awareness and transparency in the decisionmaking, it added.",neutral,"petition seeks live stream of supreme court proceedings garnered 43,000 signatures."
uber board to decide on ceo's temporary stepping away,"uber board will meet on sunday to discuss ceo travis kalanick temporarily stepping away from the ridehailing firm, according to reuters. it's not clear if the board will make any decision to change kalanickâs role. the board is also expected to adopt the internal policy and management changes suggested by people hired to investigate sexual harassment claims at work.",neutral,uber board to meet sunday to discuss ceo travis kalanick temporarily stepping away from ridehailing firm.
police volunteers beat man to death for not paying bribe,"civic police volunteers in kolkata allegedly beat a man to death for refusing to give them a bribe after he was caught riding without a helmet. the accused fled after people came to rescue the victim, who later died at a hospital. police arrested one civic volunteer and said that others will be booked if they were involved.",anger,kolkata police allegedly beat man to death for refusing to give bribe
chinese president xi to visit north korea next month report,"chinese president xi jinping will visit north korea next month at the invitation of leader kim jongun to attend the 70th anniversary celebrations of the nation's founding, according to a report. it will be xi's first visit to north korea since he assumed office. however, the report said that his visit could be subject to lastminute changes.",neutral,chinese president xi jinping will visit north korea next month.
spicejet plays national anthem with people strapped to seats,a passenger travelling from tirupati to hyderabad has filed a complaint against spicejet for playing national anthem minutes before landing. the complainant said the passengers were not in a position to stand up following the pilotâs directions to keep the seat belt on. a spicejet spokesperson said the anthem started playing after crew mistakenly selected the wrong number on playlist.,neutral,anthem started playing from tirupati to hyderabad
20 aap mlas disqualified for holding offices of profit,"president ram nath kovind on sunday approved the election commission's recommendation to disqualify 20 aam aadmi party mlas for holding offices of profit. this leaves aap with 42 seats in the 70member delhi assembly and will lead to bypolls. the aap had earlier moved the delhi high court against the ec's recommendation, but the court had refused to stay it.",sadness,aap has 42 seats in delhi assembly and will lead to bypolls
nobody's business what i do after 6 pm sidhu on tv shows,"amid controversy over punjab minister navjot singh sidhu's tv commitments, the cricketerturnedpolitician said it was nobody's business as to what he does after 6 pm. further, sidhu indicated that appearing in tv shows didn't amount to a breach of 'office of profit' law. however, punjab cm amarinder singh has sought legal opinion over sidhu's tv commitments despite being a minister.",neutral,navjot singh sidhu says it was nobody's business as to what he does after 6 pm
salman's picture from 'tiger zinda hai' sets surfaces online,"a picture of actor salman khan from the sets of his upcoming film 'tiger zinda hai' has surfaced online. he can be seen with costar nawab shah and other crew members in the picture. directed by ali abbas zafar and also starring actress katrina kaif, 'tiger zinda hai' is scheduled to release on december 22.",neutral,'tiger zinda hai' is scheduled to release on december 22
us supervolcano could take just decades to erupt study,"scientists believe the underground supervolcano at usa's yellowstone national park is capable of sending the earth into a ""volcanic winter"". while the supervolcano hasn't erupted since the last 6.3 lakh years, scientists said, a buildup of magma and subsequent eruption would take just decades. hence, predicting such an event early would prevent a catastrophic natural disaster, they added.",neutral,the supervolcano hasn't erupted since the last 6.3 lakh years.
no regrets as of yet about not getting married tabu,"tabu has said she has no regrets as of yet about not getting married. ""i've never been married, so i don't know how good or bad it is. only when i experience marriage...i'll understand if singlehood was good or if marriage is good,"" she added. when asked if she'll ever get married, tabu further said she doesn't have an answer.",sadness,tabu says she has no regrets about not getting married.
first cricket world cup hattrick was taken by an indian,"former indian pacer chetan sharma dismissed three new zealand batsmen in three successive deliveries on october 31, 1987, in nagpur, becoming the first bowler to take a hattrick in a world cup match. it was also the first hattrick taken by an indian and the first allbowled hattrick in international cricket. sharma represented india in 23 tests and 65 odis.",surprise,chetan sharma dismisses three new zealand batsmen in three successive deliveries.
told him to be honest with work suniel on son ahan's debut,"talking about the advice he has given to son ahan shetty who will make his bollywood debut, suniel shetty said, ""i've told him to be honest with his work."" ""i've also told him to love your producer because he's the one who invests money in films,"" added suniel. ahan will make debut with hindi remake of telugu film 'rx 100'.",neutral,suniel shetty tells son to be honest with his work.
auto driver who splurged on girlfriends after robberies held,the hyderabad police have apprehended a 58yearold auto driver who was allegedly involved in more than 250 cases of house burglaries. the police said the accused led a luxurious life and splurged on several girlfriends. the police recovered gold ornaments weighing 370 grams and over â¹3 lakh in cash from him.,anger,58-year-old allegedly involved in more than 250 house burglaries
india is rising but against you rahul gandhi to pm modi,"after pm narendra modi's speech and presentation at news18 rising india summit, congress president rahul gandhi tweeted, ""you're right about rising india. one small issue  it's rising against you."" in another tweet, rahul also accused pm modi of using the cbi to ""target key opposition politicians to intimidate and harass them"".",anger,rahul gandhi accuses pm modi of using cbi to intimidate and harass opposition politicians.
personal secretaries of 3 up ministers held for corruption,personal secretaries of three uttar pradesh ministers were arrested on saturday on corruption charges after they were caught on camera purportedly seeking a bribe. the incident came to light after a tv news channel conducted a sting operation following which a special investigation team was formed. the investigation team found the charges against them to be true.,anger,secretaries of three uttar pradesh ministers arrested on corruption charges.
murray embraces mother after announcing impending retirement,"former world number one tennis player andy murray embraced his mother judy murray after announcing his impending retirement in a press conference ahead of the australian open 2019. murray, who broke down in tears during his announcement, wrote in an instagram post, ""best way to feel better after a tough day is a big cuddle from your mum.""",joy,andy murray announced his impending retirement in a press conference ahead of australian open 2019.
tejashwi calls nitish 'mauni baba' over his silence on crime,"after rjd mla upendra paswan was attacked by unidentified assailants on friday, party leader tejashwi yadav slammed bihar chief minister nitish kumar over his silence on the incident and called him ""mauni baba"". claiming that four rjd members have been attacked in the past six months, yadav alleged that kumar was trying to eliminate rjd legislators.",anger,rjd mla upendra paswan was attacked by unidentified assailants on friday. tejashwi yadav slams kumar over his silence on the incident
rana kapoor reappointed as yes bank ceo for another 3 years,"yes bank shareholders on tuesday approved the reappointment of rana kapoor as the managing director and chief executive officer ceo for another threeyear term starting september 1. his new tenure now has to be approved by the reserve bank of india. notably, rana kapoor has been at the helm of the private sector lender since 2004.",neutral,rana kapoor has been at the helm of the private sector lender since 2004.
ready for alliance if bsp gets respectable seat share mayawati,"bahujan samaj party bsp chief mayawati said that her party will agree to an alliance in any election only if it gets a ""respectable share of seats"". ""otherwise we'll contest alone,"" she added. mayawati further said that opposition parties will try their best to ensure bjp doesn't win in upcoming assembly elections in some states and 2019 lok sabha elections. nn",neutral,"bahujan samaj party bsp will agree to alliance only if it gets a ""respectable share of seats"""
100 sure it was real sender of fake hawaii missile alert,"a former hawaii state worker who sent a false missile alert last month has said that at the time of sending the alert to the citizens he was ""100 sure"" that the attack was real. however, he added that after finding that it was a drill, he felt devastated. the hawaii emergency management agency fired him after the incident.",neutral,former hawaii state worker sent false missile alert to citizens.
"tiger shroff, nawazuddin's 'munna michael' hits the theatres","tiger shroff and nawazuddin siddiqui starrer 'munna michael', which released on friday, is ""a film where everybody would look disinterested and jump on a chance to break into a song,"" wrote ht. ndtv called it ""a mixedgenre monstrosity that never hits any kind of rhythm,"" while koimoi wrote, ""the script...lacks purpose"". it was rated 15 ht and 1.55 ndtv, koimoi.",neutral,tiger shroff and nawazuddin siddiqui starrer'munna michael' released on friday.
kerala dam's gate opened after 26 years following heavy rain,"kerala opened one of five shutters of cheruthoni dam on idukki reservoir for the first time in 26 years as heavy rain claimed 22 lives in 24 hours in the state. water level rose to 2,399.56 feet, nearing maximum storage level of 2403 feet in the reservoir. almost 50,000 litres of water will be released per second from the reservoir.",surprise,kerala opens five shutters of cheruthoni dam on idukki reservoir for first time in 26 years.
she's in fridge hawaii man told police after killing mother in 2017,"yu wei gong from hawaii has been sentenced to 30 years in prison for killing and dismembering his mother in 2017. gong, who had called the police to turn himself in after the murder, had said 'in the fridge' when officers asked where his mother was. apologising at his sentencing on monday, gong said he's ashamed of what he did.",sadness,yu wei gong sentenced to 30 years in prison for killing and dismembering his mother in 2017
which indian won't have tears of joy pm modi on hima's gold,"prime minister narendra modi on saturday took to twitter to share a video of moments from 18yearold sprinter hima das' victory in the women's 400m event at the iaaf world junior championships. ""seeing her passionately search for the tricolour immediately after winning...touched me deeply. i was extremely moved. which indian wonât have tears of joy seeing this!"" pm modi wrote.",sadness,prime minister narendra modi shares video of hima das's victory on twitter.
threat from vishal for exposing casting couch sri reddy,"after claiming she faced the casting couch in tollywood and kollywood, actress sri reddy said, ""i am feeling threat from tamil actor vishal reddy."" vishal had earlier slammed her for ""picking her targets randomly"" but not coming forward with any evidence. ""for all we know, i might be the next one to be named by her,"" he had said.",fear,vishal reddy says she faced the casting couch in tollywood and kollywood.
bjp leader threatens govt employee who asked him to pay bill,"bjp leader jagannath singh raghuvanshi on saturday allegedly threatened a government employee for asking him to clear his â¹4lakh electricity bill in madhya pradesh's isagarh. a video of the incident has surfaced online and shows raghuvanshi telling the employee, ""you are living at my mercy here, or else i would have blackened your face and beaten you with shoes.""",fear,bjp leader jagannath singh raghuvanshi allegedly threatened a government employee.
pakistan to build 'community bunkers' on line of control,"pakistan will construct community bunkers on the line of control loc to protect civilians from alleged crossborder firing by indian troops, pakistan's pm shahid abbasi has said. pakistan had accused india of carrying out more than 900 ceasefire violations along loc and the working boundary this year, killing at least 43 civilians and injuring 153 others.",neutral,pakistan to construct community bunkers on line of control loc to protect civilians from alleged crossborder firing by indian troops.
uber cpo who led flying car operations quits,"uber's chief product officer jeff holden, who led the startup's flying car operations, has left the usbased startup. holden, who has also worked at amazon as its senior vice president of worldwide discovery, joined uber in 2014. over a dozen executives have left the cabhailing startup since last year, according to reports.",neutral,jeff holden led uber's flying car operations.
wealth of china's richest man tops 50 bn for the first time,"china's richest person and tencent holdings chairman ma huateng's net worth has surpassed 50 billion, making him the firstever mainland chinese individual to achieve this milestone. huateng is now the world's 14th richest person as well as the wealthiest in asia, according to forbes. recently, tencent surpassed facebook to become the world's largest social network company valued at 550 billion.",joy,ma huateng is the world's 14th richest person and wealthiest in asia.
"emma, gal gadot win top acting awards at teen choice awards","gal gadot was named the choice action movie actress while emma watson won two choice actress awards in the fantasy and drama categories at teen choice awards 2017. gadot won the award for 'wonder woman', which was named choice action movie. emma won the awards for 'beauty and the beast', which won best film in fantasy category, and 'the circle'.",joy,gal gadot named choice action movie actress while emma watson won two choice actress awards.
gurugram sanitary pad startup carmesi raises â¹3.4 crore,"gurugrambased sanitary pad startup carmesi has raised â¹3.4 crore in preseries a round of funding led by samrath bedi, executive director of beauty brand forest essentials. the round also saw participation from investors including satveer thakral from the thakral group, rohit reddy, and samir saran. founded in 2017, the startup makes biodegradable pads made of cornstarch and bamboo fibre.",joy,carmesi raises â13.4 crore in preseries round led by samrath bedi.
women in pak district vote for 1st time since its formation,"women in pakistan's upper dir district voted for the first time on wednesday since the country came into being in 1947, officials said. women also voted for the first time in a village in punjab province, the local media reported. pakistan's election commission said all votes in a constituency will become invalid if women are stopped from voting.",neutral,women in pakistan's upper dir district voted for first time since 1947.
conor mcgregor attended world cup final as putin's guest,"mma star conor mcgregor posed with his hand around russian president vladimir putin at the fifa world cup final on sunday. mcgregor posted the photo with the caption that mentioned that he was attending the final as a guest of the russian president. ""this man is one of the greatest leaders of our time"", mcgregor's post read.",joy,mma star posed with his hand around russian president vladimir putin
govt planning to link driving licence to aadhaar,"union information technology minister ravi shankar prasad on friday said that the government is planning to link driving licence to aadhaar and added that he has had a word regarding the same with transport minister nitin gadkari. ""we linked pan permanent account number card to aadhaar to stop money laundering,"" said prasad, adding that ""digital identity confirms physical identity"".",neutral,prasad says he has had a word about the same with nitin gadkari.
